dataset;method;SA;MRE;Runtime
5;1;0.422441;0.535722;0.023757
5;2;0.534687;0.690496;0.025007
5;3;0.436250;0.707759;8.632116
5;1;0.393427;0.266264;0.022956
5;2;0.235669;0.130228;0.024182
5;3;0.692010;0.069082;8.586089
5;1;2.045292;-0.377758;0.023141
5;2;0.041916;0.878428;0.024370
5;3;0.324022;0.526536;8.856831
5;1;1.754349;-0.501123;0.023089
5;2;0.395652;0.593521;0.024332
5;3;0.298990;0.746968;8.486100
5;1;1.022342;0.553443;0.024076
5;2;0.624324;0.600858;0.025399
5;3;0.533081;0.795672;8.540122
5;1;1.578080;0.124326;0.023152
5;2;0.308333;0.793012;0.024378
5;3;0.553640;0.697895;8.643390
5;1;2.211922;0.136439;0.022992
5;2;0.587601;0.463462;0.024244
5;3;0.679291;0.579958;8.391327
5;1;2.581928;0.349024;0.023459
5;2;0.470588;0.784283;0.024718
5;3;0.389304;0.809967;8.671320
5;1;1.288894;-0.133085;0.023181
5;2;0.832518;0.281905;0.024495
5;3;0.404927;0.566080;9.123762
5;1;1.129994;0.643028;0.023263
5;2;0.928008;0.747780;0.024515
5;3;0.724298;0.682747;8.600226
5;1;0.422441;0.414163;0.022997
5;2;0.534687;0.663028;0.024229
5;3;0.685168;0.522862;8.267219
5;1;0.393427;0.224971;0.024081
5;2;0.235669;0.149130;0.025445
5;3;0.507847;0.375111;8.403874
5;1;2.045292;-0.603539;0.023219
5;2;0.041916;0.853999;0.024449
5;3;0.996406;0.226627;8.533179
5;1;1.754349;-0.468140;0.023222
5;2;0.395652;0.631085;0.024465
5;3;0.313250;-0.073331;8.434116
5;1;1.022342;0.471222;0.023513
5;2;0.624324;0.633311;0.024774
5;3;0.528360;0.779639;8.408552
5;1;1.578080;0.156190;0.023251
5;2;0.308333;0.745334;0.024489
5;3;0.360827;0.711450;8.897047
5;1;2.211922;0.253923;0.023216
5;2;0.587601;0.358175;0.024443
5;3;0.512477;0.421499;8.602625
5;1;2.581928;0.386903;0.023164
5;2;0.470588;0.749831;0.024392
5;3;1.748277;0.417297;8.766510
5;1;1.288894;-0.125317;0.024090
5;2;0.832518;0.393565;0.025387
5;3;0.569530;0.646731;9.012093
5;1;1.129994;0.603704;0.023545
5;2;0.928008;0.691691;0.024783
5;3;1.959514;0.085666;8.870286
5;1;0.422441;0.379317;0.023196
5;2;0.534687;0.649083;0.024424
5;3;0.524908;0.715020;8.424768
5;1;0.393427;0.269598;0.023301
5;2;0.235669;0.107490;0.024526
5;3;0.409385;0.269017;8.635770
5;1;2.045292;-0.381798;0.023421
5;2;0.041916;0.864310;0.024659
5;3;0.596264;0.533746;8.582503
5;1;1.754349;-0.446962;0.023360
5;2;0.395652;0.621672;0.024608
5;3;0.224890;0.866304;8.735174
5;1;1.022342;0.581244;0.023134
5;2;0.624324;0.579857;0.024356
5;3;0.407497;0.764779;8.723591
5;1;1.578080;0.045765;0.024264
5;2;0.308333;0.751483;0.025617
5;3;0.393736;0.537242;8.654214
5;1;2.211922;0.180008;0.023030
5;2;0.587601;0.473883;0.024249
5;3;0.447811;0.795792;8.697514
5;1;2.581928;0.312809;0.023262
5;2;0.470588;0.780782;0.024487
5;3;0.383759;0.773614;8.781976
5;1;1.288894;-0.120386;0.023316
5;2;0.832518;0.348671;0.024565
5;3;1.087911;0.371745;9.023802
5;1;1.129994;0.574020;0.023205
5;2;0.928008;0.716814;0.024440
5;3;1.384993;0.549931;8.866940
5;1;0.422441;0.326816;0.023476
5;2;0.534687;0.592711;0.024738
5;3;0.475215;0.725480;8.551395
5;1;0.393427;0.297503;0.023565
5;2;0.235669;0.198631;0.024794
5;3;0.420115;0.379217;8.761346
5;1;2.045292;-0.467765;0.024408
5;2;0.041916;0.887067;0.025728
