dataset;method;SA;MRE;Runtime
1;1;1.151496;0.191398;0.034047
1;2;0.736842;0.270689;0.036271
1;3;0.306174;0.601648;15.988339
1;1;0.461306;0.592832;0.039653
1;2;0.332762;0.386677;0.042234
1;3;0.305870;0.463053;15.769758
1;1;0.736375;0.366958;0.033991
1;2;0.508633;0.426238;0.036227
1;3;0.491578;0.520761;16.523601
1;1;0.489227;0.393169;0.034273
1;2;0.583751;0.299655;0.036543
1;3;0.394090;0.420488;16.190107
1;1;0.319419;0.430373;0.033748
1;2;0.776984;-0.426356;0.035968
1;3;0.298546;0.428238;16.619986
1;1;0.547883;0.267306;0.034759
1;2;0.398287;0.405990;0.037051
1;3;0.392700;0.423833;16.226957
1;1;0.170175;0.579711;0.033803
1;2;0.420374;0.358207;0.035988
1;3;0.103594;0.584706;16.013214
1;1;0.368598;0.475802;0.034214
1;2;0.482829;0.177318;0.036426
1;3;0.271889;0.635410;15.924812
1;1;0.434807;0.418489;0.033963
1;2;0.428422;0.304252;0.036189
1;3;0.481092;0.465301;16.546758
1;1;0.374432;0.408241;0.035073
1;2;0.263736;0.459468;0.037407
1;3;0.269351;0.374493;16.477576
1;1;1.151496;0.202222;0.033860
1;2;0.736842;0.335025;0.036092
1;3;0.556468;0.565986;16.050607
1;1;0.461306;0.582202;0.034177
1;2;0.332762;0.369897;0.036430
1;3;0.478627;0.461049;15.982884
1;1;0.736375;0.352500;0.034693
1;2;0.508633;0.404843;0.036938
1;3;0.696320;0.494164;15.924219
1;1;0.489227;0.390489;0.033855
1;2;0.583751;0.277560;0.036067
1;3;0.635045;0.415194;16.780680
1;1;0.319419;0.427094;0.040408
1;2;0.776984;-0.404171;0.042709
1;3;0.462816;0.133553;16.217591
1;1;0.547883;0.265286;0.034120
1;2;0.398287;0.436078;0.036329
1;3;0.289027;0.507497;15.764910
1;1;0.170175;0.573952;0.034616
1;2;0.420374;0.372836;0.036904
1;3;0.106997;0.716094;16.051330
1;1;0.368598;0.510168;0.034210
1;2;0.482829;0.153496;0.036430
1;3;0.446426;0.496231;16.112122
1;1;0.434807;0.438629;0.033709
1;2;0.428422;0.329789;0.035911
1;3;0.499568;0.345337;15.772193
1;1;0.374432;0.382397;0.034168
1;2;0.263736;0.482043;0.036388
1;3;0.286613;0.386274;15.985882
1;1;1.151496;0.213772;0.034658
1;2;0.736842;0.330806;0.036939
1;3;0.273822;0.549956;16.329677
1;1;0.461306;0.585459;0.033739
1;2;0.332762;0.333217;0.035953
1;3;0.267770;0.618293;16.514039
1;1;0.736375;0.368185;0.033787
1;2;0.508633;0.407588;0.036004
1;3;0.387327;0.487499;15.908287
1;1;0.489227;0.375484;0.035726
1;2;0.583751;0.276955;0.037999
1;3;0.418653;0.400108;16.334602
1;1;0.319419;0.442664;0.034272
1;2;0.776984;-0.389705;0.036518
1;3;0.318520;0.356204;16.367177
1;1;0.547883;0.288459;0.033905
1;2;0.398287;0.425958;0.036127
1;3;0.388881;0.356854;16.405520
1;1;0.170175;0.577844;0.033793
1;2;0.420374;0.364026;0.035995
1;3;0.088563;0.757112;16.327277
1;1;0.368598;0.480154;0.035007
1;2;0.482829;0.195512;0.037334
1;3;0.313821;0.595756;16.066236
1;1;0.434807;0.416894;0.033789
1;2;0.428422;0.345397;0.035993
1;3;0.322718;0.424296;16.747564
1;1;0.374432;0.436526;0.033658
1;2;0.263736;0.485810;0.035864
1;3;0.358313;0.278637;16.042424
1;1;1.151496;0.163384;0.033767
1;2;0.736842;0.248881;0.035956
1;3;0.242009;0.504815;16.342000
1;1;0.461306;0.574830;0.035110
1;2;0.332762;0.325213;0.037394
1;3;0.227285;0.578378;16.033501
1;1;0.736375;0.335925;0.033942
1;2;0.508633;0.437739;0.036182
1;3;0.540003;0.564384;16.322985
1;1;0.489227;0.355135;0.034167
1;2;0.583751;0.293255;0.036385
1;3;0.431633;0.404354;16.173870
1;1;0.319419;0.445691;0.033505
1;2;0.776984;-0.310305;0.035682
1;3;0.317380;0.304613;16.414900
1;1;0.547883;0.250725;0.034688
1;2;0.398287;0.441421;0.036950
1;3;0.358706;0.518727;16.199717
1;1;0.170175;0.571540;0.033890
1;2;0.420374;0.381555;0.036100
1;3;0.394371;0.415031;16.027641
1;1;0.368598;0.470130;0.034159
1;2;0.482829;0.199911;0.036375
1;3;0.348858;0.547511;15.899473
1;1;0.434807;0.439512;0.042184
1;2;0.428422;0.298734;0.045022
1;3;0.338258;0.449725;16.387560
1;1;0.374432;0.442649;0.034403
1;2;0.263736;0.477662;0.036657
1;3;0.331258;0.410621;16.845361
1;1;1.151496;0.208593;0.034259
1;2;0.736842;0.338926;0.036490
1;3;0.757478;0.449773;15.697831
1;1;0.461306;0.591428;0.034226
1;2;0.332762;0.373598;0.036475
1;3;1.359754;-0.527580;15.624155
1;1;0.736375;0.354134;0.034059
1;2;0.508633;0.388497;0.036296
1;3;0.394734;0.549583;15.275439
1;1;0.489227;0.359239;0.033863
1;2;0.583751;0.285579;0.036059
1;3;0.531672;0.356913;15.898088
1;1;0.319419;0.393331;0.033819
1;2;0.776984;-0.474181;0.036013
1;3;0.288015;0.410503;15.740713
1;1;0.547883;0.261208;0.033787
1;2;0.398287;0.420530;0.035996
1;3;0.346606;0.520548;15.645242
1;1;0.170175;0.567595;0.034427
1;2;0.420374;0.336381;0.036781
1;3;0.154464;0.565293;15.997150
1;1;0.368598;0.443416;0.033809
1;2;0.482829;0.173442;0.036017
1;3;0.288982;0.545779;16.140864
1;1;0.434807;0.448159;0.033955
1;2;0.428422;0.340777;0.036163
1;3;0.305529;0.461700;16.095791
1;1;0.374432;0.425448;0.033960
1;2;0.263736;0.478720;0.036204
1;3;0.323034;0.422167;16.328260
1;1;1.151496;0.181514;0.034022
1;2;0.736842;0.290095;0.036259
1;3;0.308350;0.550882;16.605488
1;1;0.461306;0.593304;0.034375
1;2;0.332762;0.397980;0.036717
1;3;0.294323;0.646404;16.349908
1;1;0.736375;0.308245;0.034312
1;2;0.508633;0.414468;0.036581
1;3;0.605022;0.537777;17.107995
1;1;0.489227;0.356401;0.034854
